distance,group,SP,layer,deltaAIC
36,DB,Aa,understory,1.687932113
37,DB,Aa,understory,1.612090509
38,DB,Aa,understory,1.543215914
39,DB,Aa,understory,1.617306389
40,DB,Aa,understory,1.6744893
41,DB,Aa,understory,1.636006565
42,DB,Aa,understory,1.664852363
43,DB,Aa,understory,1.592308187
44,DB,Aa,understory,1.778885812
45,DB,Aa,understory,2.003647374
46,DB,Aa,understory,2.104142193
47,DB,Aa,understory,2.521512176
48,DB,Aa,understory,2.536296456
49,DB,Aa,understory,2.747743861
50,DB,Aa,understory,2.824771315
1,DB,Aa,canopy,-2.931803872
2,DB,Aa,canopy,-3.71985367
3,DB,Aa,canopy,-3.966138105
4,DB,Aa,canopy,1.503011833
5,DB,Aa,canopy,15.45689155
6,DB,Aa,canopy,16.07422632
7,DB,Aa,canopy,10.23978066
8,DB,Aa,canopy,5.486482849
9,DB,Aa,canopy,4.661750662
10,DB,Aa,canopy,3.510943723
11,DB,Aa,canopy,3.005375323
12,DB,Aa,canopy,3.432743163
13,DB,Aa,canopy,3.110753258
14,DB,Aa,canopy,3.740800578
15,DB,Aa,canopy,3.745756841
16,DB,Aa,canopy,3.094087261
17,DB,Aa,canopy,2.594756368
18,DB,Aa,canopy,2.944371247
19,DB,Aa,canopy,3.359303375
20,DB,Aa,canopy,3.126663281
21,DB,Aa,canopy,3.769902603
22,DB,Aa,canopy,3.068625303
23,DB,Aa,canopy,3.491666355
24,DB,Aa,canopy,2.817212467
25,DB,Aa,canopy,1.601978704
26,DB,Aa,canopy,1.513593897
27,DB,Aa,canopy,1.521070505
28,DB,Aa,canopy,1.538434072
29,DB,Aa,canopy,1.254306903
30,DB,Aa,canopy,1.13769727
31,DB,Aa,canopy,1.317599503
32,DB,Aa,canopy,1.046800301
33,DB,Aa,canopy,1.195147345
34,DB,Aa,canopy,1.255249391
35,DB,Aa,canopy,1.425051769
36,DB,Aa,canopy,1.635178636
37,DB,Aa,canopy,1.596630097
38,DB,Aa,canopy,1.650889372
39,DB,Aa,canopy,1.795547994
40,DB,Aa,canopy,1.75586032
41,DB,Aa,canopy,1.839497054
42,DB,Aa,canopy,1.735374023
43,DB,Aa,canopy,1.786592102
44,DB,Aa,canopy,1.761590473
45,DB,Aa,canopy,1.661014243
46,DB,Aa,canopy,1.656334054
47,DB,Aa,canopy,1.660556794
48,DB,Aa,canopy,1.656605018
49,DB,Aa,canopy,1.651900317
50,DB,Aa,canopy,1.563146192
