"Row.names","Estimate","Std..Error","t.value","Pr...t..","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p","distance","LT","FT","sd.two_EB","sd.two_DB"
"two_DB",-0.316130977844001,0.0342634536382008,-9.22647731843186,4.47282941354505e-19,1.95378889733003,1.7534954658478,2.20732413385722,1.39777998888596,0.511826022435976,0.453037224873963,0.570289470076565,-0.316130977844001,0.0342634536382008,0.95,-0.385500162337512,-0.246800606667479,-9.22647731843186,613,2.79678574483976e-20,16,"EB","understory",0.591239095561531,0.749582044655047
"two_EB",-0.627089694644366,0.0397205332201683,-15.7875447232405,2.29827780531681e-47,2.62570242224123,2.32807121016778,2.99003513173597,1.62040193231224,0.380850469394177,0.334444230900864,0.429540125590888,-0.627089694644366,0.0397205332201683,0.95,-0.718606532911105,-0.536905681187673,-15.7875447232405,613,3.79049158600178e-56,16,"EB","understory",0.589501639825247,0.748172026224902
"two_DB",-0.332213714347281,0.0350806141776612,-9.47000849713827,5.96477029916151e-20,2.05925928156146,1.84359961468518,2.33005066152479,1.43501194474522,0.485611505532096,0.429175217737796,0.542417123563329,-0.332213714347281,0.0350806141776612,0.95,-0.402250218687717,-0.262191215584876,-9.47000849713827,613,2.79820931549386e-21,17,"EB","understory",0.588909523868505,0.744567003062178
"two_EB",-0.626470063921869,0.0398999378126275,-15.7010285796386,6.08575039940592e-47,2.66391947782186,2.36077730758804,3.03459303240611,1.63215179374403,0.375386721830513,0.32953347922476,0.423589296959857,-0.626470063921869,0.0398999378126275,0.95,-0.718764357426597,-0.53558585015411,-15.7010285796386,613,1.4880956511628e-55,17,"EB","understory",0.588904203818276,0.740773263237133
"two_DB",-0.339613789643209,0.0356037117689828,-9.53871865514521,3.3553293024019e-20,2.1359876208524,1.9091781871463,2.41937839355823,1.46150183744407,0.468167507263423,0.413329309157498,0.52378557786412,-0.339613789643209,0.0356037117689828,0.95,-0.411442174781236,-0.267808388408782,-9.53871865514521,613,1.44607915339117e-21,18,"EB","understory",0.58773270812827,0.739264374118803
"two_EB",-0.62719556781987,0.0398922947238317,-15.7222233557094,4.79510987316268e-47,2.68155195745557,2.37586768575345,3.05515182520926,1.63754449022174,0.372918375577129,0.327315975510155,0.420898859812925,-0.62719556781987,0.0398922947238317,0.95,-0.719909529730854,-0.535949250026363,-15.7222233557094,613,1.06519145115364e-55,18,"EB","understory",0.587094712721086,0.736691855825788
"two_DB",-0.3492903504109,0.0360436594514355,-9.69075714638594,9.29499190037086e-21,2.21237642701642,1.9744857446788,2.50834079288618,1.48740593888031,0.452002646470332,0.398669910737833,0.506460987472298,-0.3492903504109,0.0360436594514355,0.95,-0.422588371948545,-0.276032387269998,-9.69075714638594,613,3.30072554875952e-22,19,"EB","understory",0.585810937607552,0.733951680002301
"two_EB",-0.626653770927966,0.0399318637574998,-15.6930759539184,6.65487338513714e-47,2.71544135798708,2.40487208970081,3.09466689121801,1.64785962933348,0.368264259163117,0.323136555613718,0.415822531386445,-0.626653770927966,0.0399318637574998,0.95,-0.719702110278591,-0.53510454531001,-15.6930759539184,613,1.68679891245772e-55,19,"EB","understory",0.585107027794944,0.731046934365226
"two_DB",-0.355644595111047,0.0364653340438397,-9.75295042364019,5.47503694941006e-21,2.28753589988979,2.03875773269011,2.59589540595945,1.51246021431633,0.437151609313838,0.385223533160958,0.490494767458473,-0.355644595111047,0.0364653340438397,0.95,-0.429522029295313,-0.281819306076154,-9.75295042364019,613,1.79183421267861e-22,20,"EB","understory",0.583975828713587,0.727565585342334
"two_EB",-0.623009999449212,0.039864335532952,-15.6282549582252,1.37814635330665e-46,2.73386197838193,2.42063793652416,3.11614605156461,1.65343943898225,0.365782913661158,0.320909220380702,0.413114239395884,-0.623009999449212,0.039864335532952,0.95,-0.716280512122018,-0.531282315727823,-15.6282549582252,613,4.67429590414114e-55,20,"EB","understory",0.583499424599039,0.724733274499447
"two_DB",-0.359380479725172,0.0368613221069536,-9.74952766703334,5.63721439312122e-21,2.34509281946812,2.08798581731572,2.66295797628002,1.53136958944212,0.426422353818304,0.375522260924648,0.478930456187478,-0.359380479725172,0.0368613221069536,0.95,-0.434283733503309,-0.28456960710963,-9.74952766703334,613,1.85328529273338e-22,21,"EB","understory",0.583464171393817,0.722418651938694
"two_EB",-0.626012070842153,0.040101588929812,-15.6106550276059,1.67896389042044e-46,2.77550096415499,2.45627708595051,3.16470045716454,1.66598348255767,0.360295317103034,0.315985671799082,0.40712019247333,-0.626012070842153,0.040101588929812,0.95,-0.719755060818192,-0.533828780348354,-15.6106550276059,613,6.16012832259791e-55,21,"EB","understory",0.582226036072653,0.720145563915121
"two_DB",-0.372209093305023,0.0372733879339444,-9.98592062424402,7.38080450781248e-22,2.4109621408537,2.14433149436337,2.73971805611277,1.55272732340669,0.414772170435621,0.365001061977466,0.466345806433669,-0.372209093305023,0.0372733879339444,0.95,-0.44775185112941,-0.296792837751301,-9.98592062424402,613,1.75662761056742e-23,22,"EB","understory",0.58118985370034,0.717604679045999
"two_EB",-0.621533810806132,0.0402603831165635,-15.4378513738094,1.16076161022652e-45,2.81286221066991,2.48825618000367,3.20826860256472,1.6771589700055,0.355509770868528,0.311694600383706,0.401887879566535,-0.621533810806132,0.0402603831165635,0.95,-0.715435192542558,-0.529192323740001,-15.4378513738094,613,9.10843577319525e-54,22,"EB","understory",0.580685141596397,0.715478881496318
"two_DB",-0.377448738498159,0.0376252399475161,-10.0317961832181,4.95484025082346e-22,2.47951944640732,2.20298447366495,2.8196226470227,1.57464899149217,0.403303955308332,0.354657386886831,0.453929663124847,-0.377448738498159,0.0376252399475161,0.95,-0.453904104168688,-0.301115553486494,-10.0317961832181,613,1.10488097333831e-23,23,"EB","understory",0.579901711201371,0.712797545941975
"two_EB",-0.618007080494899,0.0403261308968115,-15.3252262677093,4.07236797307048e-45,2.84827601821216,2.5185694406548,3.24956735467112,1.68768362503526,0.351089569130906,0.307733273650273,0.397050795526214,-0.618007080494899,0.0403261308968115,0.95,-0.712093558323849,-0.5254899737382,-15.3252262677093,613,5.18735970513721e-53,23,"EB","understory",0.579630306769632,0.710288217818423
"two_DB",-0.379773439453187,0.038042794199311,-9.98279562388362,7.58355995755483e-22,2.54123520827453,2.25579036563498,2.89156250296914,1.59412521725068,0.393509422797187,0.345833783282627,0.44330360446349,-0.379773439453187,0.038042794199311,0.95,-0.457084133186862,-0.302596903475325,-9.98279562388362,613,1.81285684265791e-23,24,"EB","understory",0.579788612086847,0.708707509628001
"two_EB",-0.616868333986621,0.0404884494172628,-15.2356620928934,1.10176329951087e-44,2.8784741783682,2.54441902149574,3.28478488653854,1.69660666577973,0.347406277782522,0.304433938459144,0.393017027286704,-0.616868333986621,0.0404884494172628,0.95,-0.711343268557881,-0.523975776498631,-15.2356620928934,613,2.05039474439392e-52,24,"EB","understory",0.57894434411923,0.706172651717631
