STEM_ID,IND_ID,MESH,X,Y,SP,LT,LD05,LD15,LD20,LD24,DBH05,DBH15,DBH20,DBH24,BA24,TBA24,X_modified,Y_modified,ALT,slope,TPI
1693,1693,ALT800A01,97,13.95,アカガシ,EB,,,0,0,,,5.7,6.9,0.003739,0.003739,47532.88072,-92659.88192,768.3433228,1.35930623,0.079114278
24,24,ALT800A02,99.8,21.7,シキミ,EB,0,0,0,0,9,11.1,12.4,13.2,0.013685,0.013685,47537.50784,-92653.06339,769.7667847,1.03059067,0.050109863
25,25,ALT800A02,98.85,22,シキミ,EB,0,0,0,0,19.1,21.9,23.6,24.5,0.047144,0.047144,47536.66135,-92652.53809,769.7667847,1.050486216,0.034826105
26,26,ALT800A02,96.25,21.5,タンナサワフタギ,DB,0,0,0,0,10.2,10.6,10.5,10.4,0.008495,0.011916,47534.0184,-92652.38054,769.7667847,1.112339503,0.019287109
1313,26,ALT800A02,96.25,21.5,タンナサワフタギ,DB,0,0,0,0,5.5,6.6,6.7,6.6,0.003421,0.011916,47534.0184,-92652.38054,769.7667847,1.112339503,0.019287109
27,27,ALT800A02,93.35,22.65,シキミ,EB,0,0,0,0,6.7,7.2,7.3,7.6,0.004536,0.004536,47531.49221,-92650.55001,768.2590942,1.13832262,-0.003717596
28,28,ALT800A02,,,シキミ,EB,0,0,1,1,8.1,7.1,,,,,,,,,
29,29,ALT800A02,90.95,21.1,ヤマグワ,DB,0,0,0,0,10.4,17.1,18,17.9,0.025165,0.025165,47528.78377,-92651.45933,768.2590942,1.175421232,0.004404704
30,31,ALT800A02,91.6,25.35,アブラチャン,DB,0,0,1,1,5.3,5.4,,,,,47530.46316,-92647.50147,768.0800781,1.018973779,0.011210124
31,31,ALT800A02,91.6,25.35,アブラチャン,DB,0,0,0,0,7.9,8.1,8.1,7.8,0.004778,0.010158,47530.46316,-92647.50147,768.0800781,1.018973779,0.011210124
1314,31,ALT800A02,91.6,25.35,アブラチャン,DB,0,0,0,1,6.3,6.4,6.5,,,,47530.46316,-92647.50147,768.0800781,1.018973779,0.011210124
32,35,ALT800A02,94.4,24.65,アブラチャン,DB,0,0,0,0,7.7,8,7.7,7.8,0.004778,0.042342,47533.00358,-92648.87124,768.2590942,1.041351811,0.023333232
33,35,ALT800A02,94.4,24.65,アブラチャン,DB,0,0,0,0,8.7,10.1,10.3,10.7,0.008992,0.042342,47533.00358,-92648.87124,768.2590942,1.041351811,0.023333232
34,35,ALT800A02,94.4,24.65,アブラチャン,DB,0,0,1,1,8.4,9.3,,,,,47533.00358,-92648.87124,768.2590942,1.041351811,0.023333232
35,35,ALT800A02,94.4,24.65,アブラチャン,DB,0,0,0,0,9.1,9.7,9.7,9.9,0.007698,0.042342,47533.00358,-92648.87124,768.2590942,1.041351811,0.023333232
36,35,ALT800A02,94.4,24.65,アブラチャン,DB,0,0,0,0,5.8,8.1,8.4,8.6,0.005809,0.042342,47533.00358,-92648.87124,768.2590942,1.041351811,0.023333232
1554,35,ALT800A02,94.4,24.65,アブラチャン,DB,,0,0,0,,7.2,8.1,8.6,0.005809,0.042342,47533.00358,-92648.87124,768.2590942,1.041351811,0.023333232
37,37,ALT800A02,91.6,27.15,マユミ,DB,0,0,0,0,20.7,26.5,28.5,29.2,0.066966,0.066966,47530.90767,-92645.75722,768.0800781,0.883534688,0.0066383
38,39,ALT800A02,90.3,28.2,アブラチャン,DB,0,0,0,0,6.1,8.6,9.2,9.7,0.00739,0.019772,47529.90722,-92644.41871,768.0800781,0.866878683,0.020027161
39,39,ALT800A02,90.3,28.2,アブラチャン,DB,0,1,1,1,5.2,,,,,,47529.90722,-92644.41871,768.0800781,0.866878683,0.020027161
1610,39,ALT800A02,90.3,28.2,アブラチャン,DB,,0,0,0,,6.3,7.3,7.9,0.004902,0.019772,47529.90722,-92644.41871,768.0800781,0.866878683,0.020027161
1611,39,ALT800A02,90.3,28.2,アブラチャン,DB,,0,0,0,,6.4,7.1,7.7,0.004657,0.019772,47529.90722,-92644.41871,768.0800781,0.866878683,0.020027161
40,40,ALT800A02,95,28.2,シキミ,EB,0,0,0,0,12.5,13.1,13.6,13.8,0.014957,0.018275,47534.46166,-92645.57936,769.2207031,0.912699656,0.00575002
41,40,ALT800A02,95,28.2,シキミ,EB,0,0,0,0,6.6,6.7,6.6,6.5,0.003318,0.018275,47534.46166,-92645.57936,769.2207031,0.912699656,0.00575002
42,42,ALT800A02,97.6,27,アブラチャン,DB,0,0,1,1,7.9,9.5,,,,,47536.6848,-92647.38426,769.2207031,0.906276832,0.012742476
43,42,ALT800A02,97.6,27,アブラチャン,DB,0,0,0,0,6.6,8.5,9.1,9.1,0.006504,0.021311,47536.6848,-92647.38426,769.2207031,0.906276832,0.012742476
1538,42,ALT800A02,97.6,27,アブラチャン,DB,,0,0,0,,8.9,10.2,10.3,0.008332,0.021311,47536.6848,-92647.38426,769.2207031,0.906276832,0.012742476
44,44,ALT800A02,100,24.9,アブラチャン,DB,0,0,0,1,7.2,7.8,7.8,,,,47538.49188,-92650.01189,769.7667847,1.009372144,0.047416687
45,44,ALT800A02,100,24.9,アブラチャン,DB,0,0,0,0,6,8.1,8.7,8.8,0.006082,0.013027,47538.49188,-92650.01189,769.7667847,1.009372144,0.047416687
46,44,ALT800A02,100,24.9,アブラチャン,DB,1,1,1,1,5.2,,,,,,47538.49188,-92650.01189,769.7667847,1.009372144,0.047416687
1696,44,ALT800A02,100,24.9,アブラチャン,DB,,0,0,0,,5.6,6.3,6.1,0.002922,0.013027,47538.49188,-92650.01189,769.7667847,1.009372144,0.047416687
47,47,ALT800A02,99.2,28.5,アブラチャン,DB,0,0,1,1,7.6,8.3,,,,,47538.60567,-92646.32583,769.2207031,0.886555904,0.021061824
1315,1315,ALT800A02,91,26.15,アオハダ,DB,0,0,0,0,5.6,6.6,7.2,7.8,0.004778,0.004778,47530.0793,-92646.57808,768.0800781,0.952655441,0.001359419
1529,1529,ALT800A02,,,アブラチャン,DB,,0,1,1,,5,,,,,,,,,
1530,1530,ALT800A02,,,アブラチャン,DB,,0,0,1,,5.2,5.2,,,,,,,,
1553,1553,ALT800A02,,,アオキ,EB,,0,1,1,,4.9,,,,,,,,,
1608,1608,ALT800A02,,,アオキ,EB,,1,1,1,,,,,,,,,,,
48,48,ALT800A02,97.25,30.2,アブラチャン,DB,0,0,1,1,5.5,5.6,,,,,47537.13587,-92644.19693,769.2207031,0.876688324,0.015086298
1316,48,ALT800A02,97.25,30.2,アブラチャン,DB,0,0,1,1,5.1,5.2,,,,,47537.13587,-92644.19693,769.2207031,0.876688324,0.015086298
49,49,ALT800A02,97.8,32.95,ヒメシャラ,DB,0,0,0,0,33.6,37.2,38.2,39.1,0.120072,0.120072,47538.34794,-92641.66792,768.7576904,0.816162502,0.035585938
50,53,ALT800A02,,,アブラチャン,DB,1,1,1,1,6.4,,,,,,,,,,
51,53,ALT800A02,,,アブラチャン,DB,0,0,1,1,6.3,7.4,,,,,,,,,
52,53,ALT800A02,,,アブラチャン,DB,0,1,1,1,5.4,,,,,,,,,,
53,53,ALT800A02,,,アブラチャン,DB,0,1,1,1,6.5,,,,,,,,,,
1531,53,ALT800A02,,,アブラチャン,DB,,0,0,1,,6,6,,,,,,,,
54,54,ALT800A02,92,31.35,シキミ,EB,0,0,0,0,16.9,18,18.5,18.8,0.027759,0.027759,47532.33246,-92641.78608,767.8720093,0.716841571,0.035066024
55,55,ALT800A02,,,イヌツゲ,EB,0,1,1,1,8.7,,,,,,,,,,
56,56,ALT800A02,92.1,35.25,アブラチャン,DB,0,0,1,1,5.8,6.4,,,,,47533.39245,-92638.03156,768.7576904,0.680505771,0.059455872
1697,56,ALT800A02,92.1,35.25,アブラチャン,DB,,,0,0,,,4.8,5.3,0.002206,0.004516,47533.39245,-92638.03156,768.7576904,0.680505771,0.059455872
57,57,ALT800A02,,,シキミ,EB,0,0,0,1,8.7,9.5,9.1,,,,,,,,
58,59,ALT800A02,92.55,39.8,アブラチャン,DB,0,0,1,1,4.9,5.2,,,,,47534.95213,-92633.7336,768.3207397,0.785780572,0.072066597
59,59,ALT800A02,92.55,39.8,アブラチャン,DB,0,1,1,1,9.2,,,,,,47534.95213,-92633.7336,768.3207397,0.785780572,0.072066597
1609,59,ALT800A02,92.55,39.8,アブラチャン,DB,,0,0,0,,4.9,5.2,5.2,0.002124,0.006395,47534.95213,-92633.7336,768.3207397,0.785780572,0.072066597
60,60,ALT800A02,95.35,37.5,シキミ,EB,0,0,0,0,9.1,10.2,10,10.2,0.008171,0.008171,47537.09743,-92636.65382,768.3207397,0.785651225,0.059923255
61,67,ALT800A02,99.4,36.75,アブラチャン,DB,0,1,1,1,7.5,,,,,,47540.83679,-92638.38073,769.6688232,0.882711583,0.042521973
